iter	Passed	Remaining
0	144	144184
1	144	72337
2	145	48362
3	147	36627
4	147	29437
5	148	24630
6	149	21192
7	150	18603
8	150	16596
9	151	14983
10	151	13659
11	152	12564
12	153	11664
13	154	10898
14	155	10206
15	156	9598
16	156	9058
17	157	8578
18	157	8152
19	158	7768
20	160	7481
21	161	7177
22	162	6913
23	163	6649
24	164	6405
25	164	6177
26	165	5968
27	166	5772
28	166	5589
29	169	5482
30	170	5325
31	170	5171
32	171	5027
33	172	4889
34	172	4758
35	173	4635
36	174	4545
37	175	4441
38	176	4345
39	177	4254
40	177	4159
41	178	4069
42	179	3985
43	179	3904
44	180	3826
45	181	3755
46	182	3698
47	183	3644
48	184	3581
49	185	3518
50	185	3456
51	186	3395
52	186	3338
53	187	3288
54	188	3238
55	189	3187
56	189	3138
57	190	3089
58	190	3043
59	191	2999
60	191	2954
61	192	2912
62	193	2872
63	193	2832
64	194	2794
65	194	2757
66	195	2724
67	196	2696
68	197	2667
69	198	2634
70	198	2602
71	199	2570
72	200	2540
73	200	2510
74	201	2482
75	202	2466
76	203	2442
77	205	2423
78	205	2396
79	206	2370
80	206	2346
81	207	2323
82	207	2296
83	208	2274
84	210	2261
85	211	2247
86	212	2226
87	212	2205
88	213	2184
89	214	2164
90	214	2144
91	215	2124
92	215	2105
93	217	2094
94	218	2077
95	218	2059
96	219	2042
97	220	2028
98	220	2010
99	221	1994
100	222	1980
101	223	1964
102	223	1948
103	224	1938
104	225	1924
105	226	1911
106	227	1896
107	227	1882
108	228	1867
109	229	1853
110	229	1840
111	231	1835
112	232	1824
113	233	1811
114	233	1798
115	234	1785
116	234	1772
117	235	1760
118	236	1749
119	236	1737
120	237	1725
121	238	1713
122	238	1703
123	239	1694
124	240	1684
125	241	1672
126	241	1660
127	242	1649
128	242	1638
129	243	1627
130	243	1616
131	244	1606
132	244	1596
133	246	1593
134	247	1583
135	247	1574
136	248	1565
137	249	1556
138	249	1547
139	250	1538
140	251	1530
141	251	1521
142	252	1513
143	253	1508
144	254	1501
145	255	1492
146	255	1483
147	256	1476
148	257	1472
149	258	1464
150	259	1458
151	260	1451
152	260	1443
153	261	1435
154	262	1428
155	262	1421
156	263	1415
157	264	1408
158	264	1401
159	265	1394
160	265	1385
161	266	1378
162	267	1371
163	267	1364
164	269	1363
165	270	1357
166	270	1350
167	271	1344
168	272	1337
169	272	1331
170	274	1332
171	276	1329
172	276	1322
173	277	1316
174	278	1310
175	278	1304
176	279	1298
177	279	1292
178	280	1288
179	282	1286
180	283	1280
181	283	1274
182	284	1268
183	284	1262
184	285	1256
185	285	1250
186	286	1246
187	287	1241
